trajectory_step_m,node_id,time_s,cooja_x_m,cooja_y_m,cooja_z_m
10,1,0.0,0.0,0.0,0.0
10,1,1.0,9.420588479,0.448516762,0.0
10,1,2.0,18.841176959,1.345772845,0.0
10,1,3.0,29.158976288,2.242917495,0.0
10,1,4.0,39.028128377,4.934573424,0.0
10,1,5.0,48.897280468,6.728973051,0.0
10,1,6.0,58.317868948,8.523372232,0.0
10,1,7.0,68.187021036,9.420515996,0.0
10,1,8.0,77.158962278,10.317770971,0.0
10,1,9.0,87.028197995,11.21491451,0.0
10,1,10.0,96.897350087,11.21491451,0.0
10,1,11.0,96.897350087,20.635527275,0.0
10,1,12.0,86.579550758,20.186900439,0.0
10,1,13.0,76.261835053,17.943877165,0.0
10,1,14.0,65.046824878,17.495361486,0.0
10,1,15.0,55.626236398,17.495361486,0.0
10,1,16.0,45.308520697,15.700964521,0.0
10,1,17.0,35.887932218,13.457939863,0.0
10,1,18.0,26.018780126,11.663541901,0.0
10,1,19.0,17.046755259,10.317770971,0.0
10,1,20.0,7.177603171,9.420515996,0.0
10,1,21.0,-1.794338071,7.177600719,0.0
10,1,22.0,-3.588759771,17.495361486,0.0
10,1,23.0,4.934617858,19.738273576,0.0
10,1,24.0,13.457995488,21.981296293,0.0
10,1,25.0,23.775794817,21.981296293,0.0
10,1,26.0,32.747736059,24.224318318,0.0
10,1,27.0,42.168324535,25.570086673,0.0
10,1,28.0,51.588913018,26.467339649,0.0
10,1,29.0,61.009417869,26.467339649,0.0
10,1,30.0,69.981442736,27.813107589,0.0
10,1,31.0,79.401947591,28.710248967,0.0
10,1,32.0,88.82253607,30.05612781,0.0
10,1,33.0,96.897350087,30.953268912,0.0
10,1,34.0,95.551575625,40.373856058,0.0
10,1,35.0,85.233776295,40.373856058,0.0
10,1,36.0,74.91597697,39.4766048,0.0
10,1,37.0,65.495472115,37.233698811,0.0
10,1,38.0,53.831898327,35.439306726,0.0
10,1,39.0,43.96266261,34.542054857,0.0
10,1,40.0,33.644946909,35.439306726,0.0
10,1,41.0,23.775794817,32.747662107,0.0
10,1,42.0,13.457995488,31.850521227,0.0
10,1,43.0,3.588843399,29.607501557,0.0
10,1,44.0,-4.93453423,27.364481196,0.0
10,1,45.0,-6.280308693,36.785073001,0.0
10,1,46.0,3.140196162,39.925230444,0.0
10,1,47.0,11.663573792,39.925230444,0.0
10,1,48.0,21.981373117,42.616872402,0.0
10,1,49.0,31.850525209,43.962637345,0.0
10,1,50.0,42.168324535,45.757027323,0.0
10,1,51.0,52.48604024,47.551416855,0.0
10,1,52.0,62.355275956,48.000041999,0.0
10,1,53.0,72.672991657,49.794430979,0.0
10,1,54.0,82.093580137,51.140194594,0.0
10,1,55.0,92.411379466,50.691569643,0.0
10,1,56.0,92.859943079,60.56075554,0.0
10,1,57.0,81.645016524,61.009379879,0.0
10,1,58.0,72.224428045,59.214993674,0.0
10,1,59.0,61.458065107,58.317744742,0.0
10,1,60.0,52.037476627,56.52335787,0.0
10,1,61.0,40.822550076,55.177595257,0.0
10,1,62.0,29.607539901,54.280345829,0.0
10,1,63.0,19.738387809,50.691569643,0.0
10,1,64.0,9.420588479,49.794430979,0.0
10,1,65.0,0.0,48.448667117,0.0
10,1,66.0,-8.523294005,46.654166485,0.0
10,1,67.0,-10.317715701,56.971982461,0.0
10,1,68.0,0.448647237,59.663618097,0.0
10,1,69.0,9.869235717,61.009379879,0.0
10,1,70.0,19.738387809,63.252389846,0.0
10,1,71.0,30.95331436,64.149526845,0.0
10,1,72.0,40.373902839,65.943911833,0.0
10,1,73.0,50.691702168,68.186920272,0.0
10,1,74.0,61.458065107,69.084167983,0.0
10,1,75.0,71.327217198,70.87855175,0.0
10,1,76.0,81.645016524,72.224311455,0.0
10,1,77.0,92.859943079,72.224311455,0.0
10,1,78.0,92.859943079,82.093468077,0.0
10,1,79.0,80.747805678,82.990714068,0.0
10,1,80.0,68.635584649,80.747710201,0.0
10,1,81.0,58.76643256,78.056082384,0.0
10,1,82.0,48.448716856,77.607570419,0.0
10,1,83.0,38.130917527,76.26170039,0.0
10,1,84.0,26.915990976,74.467317954,0.0
10,1,85.0,16.59819165,73.570182231,0.0
10,1,86.0,7.177603171,70.87855175,0.0
10,1,87.0,-3.588759771,69.532791797,0.0
10,1,88.0,-13.009348251,67.738407697,0.0
