trajectory_step_m,node_id,time_s,latitude_deg,longitude_deg
10,1,0.0,41.305827201,36.335150599
10,1,1.0,41.305823172,36.335263252
10,1,2.0,41.305815112,36.335375905
10,1,3.0,41.305807053,36.335499287
10,1,4.0,41.305782874,36.335617304
10,1,5.0,41.305766755,36.335735321
10,1,6.0,41.305750636,36.335847974
10,1,7.0,41.305742577,36.335965991
10,1,8.0,41.305734517,36.336073279
10,1,9.0,41.305726458,36.336191297
10,1,10.0,41.305726458,36.336309314
10,1,11.0,41.305641833,36.336309314
10,1,12.0,41.305645863,36.336185932
10,1,13.0,41.305666012,36.336062551
10,1,14.0,41.305670041,36.33592844
10,1,15.0,41.305670041,36.335815787
10,1,16.0,41.30568616,36.335692406
10,1,17.0,41.305706309,36.335579753
10,1,18.0,41.305722428,36.335461736
10,1,19.0,41.305734517,36.335354447
10,1,20.0,41.305742577,36.33523643
10,1,21.0,41.305762725,36.335129142
10,1,22.0,41.305670041,36.335107684
10,1,23.0,41.305649893,36.335209608
10,1,24.0,41.305629744,36.335311532
10,1,25.0,41.305629744,36.335434914
10,1,26.0,41.305609595,36.335542202
10,1,27.0,41.305597506,36.335654855
10,1,28.0,41.305589446,36.335767508
10,1,29.0,41.305589446,36.33588016
10,1,30.0,41.305577357,36.335987449
10,1,31.0,41.305569298,36.336100101
10,1,32.0,41.305557208,36.336212754
10,1,33.0,41.305549149,36.336309314
10,1,34.0,41.305464524,36.336293221
10,1,35.0,41.305464524,36.336169839
10,1,36.0,41.305472584,36.336046457
10,1,37.0,41.305492732,36.335933805
10,1,38.0,41.305508851,36.33579433
10,1,39.0,41.305516911,36.335676312
10,1,40.0,41.305508851,36.335552931
10,1,41.0,41.30553303,36.335434914
10,1,42.0,41.305541089,36.335311532
10,1,43.0,41.305561238,36.335193515
10,1,44.0,41.305581387,36.335091591
10,1,45.0,41.305496762,36.335075498
10,1,46.0,41.305468554,36.33518815
10,1,47.0,41.305468554,36.335290074
10,1,48.0,41.305444375,36.335413456
10,1,49.0,41.305432286,36.335531473
10,1,50.0,41.305416167,36.335654855
10,1,51.0,41.305400048,36.335778236
10,1,52.0,41.305396018,36.335896254
10,1,53.0,41.305379899,36.336019635
10,1,54.0,41.30536781,36.336132288
10,1,55.0,41.30537184,36.33625567
10,1,56.0,41.305283185,36.336261034
10,1,57.0,41.305279155,36.336126924
10,1,58.0,41.305295274,36.336014271
10,1,59.0,41.305303334,36.335885525
10,1,60.0,41.305319453,36.335772872
10,1,61.0,41.305331542,36.335638762
10,1,62.0,41.305339602,36.335504651
10,1,63.0,41.30537184,36.335386634
10,1,64.0,41.305379899,36.335263252
10,1,65.0,41.305391988,36.335150599
10,1,66.0,41.305408108,36.335048676
10,1,67.0,41.305315423,36.335027218
10,1,68.0,41.305291244,36.335155964
10,1,69.0,41.305279155,36.335268617
10,1,70.0,41.305259006,36.335386634
10,1,71.0,41.305250947,36.335520744
10,1,72.0,41.305234828,36.335633397
10,1,73.0,41.305214679,36.335756779
10,1,74.0,41.305206619,36.335885525
10,1,75.0,41.3051905,36.336003542
10,1,76.0,41.305178411,36.336126924
10,1,77.0,41.305178411,36.336261034
10,1,78.0,41.305089756,36.336261034
10,1,79.0,41.305081696,36.336116195
10,1,80.0,41.305101845,36.335971355
10,1,81.0,41.305126024,36.335853338
10,1,82.0,41.305130053,36.335729957
10,1,83.0,41.305142143,36.335606575
10,1,84.0,41.305158262,36.335472465
10,1,85.0,41.305166321,36.335349083
10,1,86.0,41.3051905,36.33523643
10,1,87.0,41.305202589,36.335107684
10,1,88.0,41.305218708,36.334995031
10,1,89.0,41.305134083,36.334984303
10,1,90.0,41.305105875,36.335107684
10,1,91.0,41.305085726,36.33523643
10,1,92.0,41.305073637,36.335359812
10,1,93.0,41.305053488,36.335488558
10,1,94.0,41.305049458,36.335617304
10,1,95.0,41.305025279,36.335724592
10,1,96.0,41.30501319,36.335853338
10,1,97.0,41.30500916,36.33597672
10,1,98.0,41.304984981,36.336121559
10,1,99.0,41.304976922,36.336261034
20,1,0.0,41.305825294,36.335142258
20,1,1.0,41.305799097,36.335372899
20,1,2.0,41.305764841,36.335608904
20,1,3.0,41.305738644,36.335839545
20,1,4.0,41.305714463,36.336067504
20,1,5.0,41.305700358,36.336308872
20,1,6.0,41.305529074,36.336303509
20,1,7.0,41.305563331,36.336054094
20,1,8.0,41.305571391,36.335815408
20,1,9.0,41.305609678,36.335571357
20,1,10.0,41.305631844,36.335329989
20,1,11.0,41.305670131,36.33510203
20,1,12.0,41.305492802,36.335072529
20,1,13.0,41.30545653,36.335305852
20,1,14.0,41.305440409,36.335539175
20,1,15.0,41.305402122,36.335767134
20,1,16.0,41.305379956,36.336000457
20,1,17.0,41.305363835,36.336231098
20,1,18.0,41.305186505,36.336215007
20,1,19.0,41.305220762,36.335973638
20,1,20.0,41.305246959,36.335737634
20,1,21.0,41.30526711,36.335501629
20,1,22.0,41.305295321,36.33526026
20,1,23.0,41.305327563,36.335029619
20,1,24.0,41.305158293,36.334989391
20,1,25.0,41.305134112,36.335225396
20,1,26.0,41.30509381,36.335453355
20,1,27.0,41.305083734,36.335692042
20,1,28.0,41.305049477,36.335920001
20,1,29.0,41.305029326,36.336150642
30,1,0.0,41.305829346,36.335142299
30,1,1.0,41.305797104,36.335493624
30,1,2.0,41.305758817,36.335844949
30,1,3.0,41.305728591,36.336201639
30,1,4.0,41.305458567,36.336166774
30,1,5.0,41.305502899,36.335810085
30,1,6.0,41.305539171,36.335450714
30,1,7.0,41.305589549,36.335088661
30,1,8.0,41.30532557,36.335035024
30,1,9.0,41.305289298,36.335386349
30,1,10.0,41.30523892,36.335734993
30,1,11.0,41.305214739,36.336091682
30,1,12.0,41.304954788,36.336054136
30,1,13.0,41.304995091,36.335692083
30,1,14.0,41.305029348,36.335327348
30,1,15.0,41.305077711,36.334981386
40,1,0.0,41.305821205,36.335139699
40,1,1.0,41.305772843,36.335609027
40,1,2.0,41.305730526,36.336075673
40,1,3.0,41.305369822,36.336038126
40,1,4.0,41.305440351,36.335555389
40,1,5.0,41.305494759,36.335072652
40,1,6.0,41.305142114,36.335000242
40,1,7.0,41.305081661,36.335464206
40,1,8.0,41.305035313,36.335938897
50,1,0.0,41.305821164,36.335142316
50,1,1.0,41.305756681,36.335732328
50,1,2.0,41.305722424,36.33632234
50,1,3.0,41.305275071,36.336282112
50,1,4.0,41.305315373,36.335686736
50,1,5.0,41.305400008,36.335077951
50,1,6.0,41.304956682,36.334951903
50,1,7.0,41.304888168,36.335539233
50,1,8.0,41.30484182,36.336131927
