radio_range_m,trajectory_step_m,receiver_id,receiver_x_m,receiver_y_m,anchor_x_m,anchor_y_m,rssi_dbm,source_file
10,10,28,13.282103691767466,1.5008064727816683,9.420588479,0.448516762,-44,10mRange-10m.csv
10,10,43,18.30563092198728,4.37596549492233,9.420588479,0.448516762,-92,10mRange-10m.csv
10,10,84,15.153189864495554,4.743070324879484,9.420588479,0.448516762,-70,10mRange-10m.csv
10,10,28,13.282103691767466,1.5008064727816683,18.841176959,1.345772845,-57,10mRange-10m.csv
10,10,43,18.30563092198728,4.37596549492233,18.841176959,1.345772845,-36,10mRange-10m.csv
10,10,84,15.153189864495554,4.743070324879484,18.841176959,1.345772845,-52,10mRange-10m.csv
10,10,20,44.36040500397955,5.649448385118882,39.028128377,4.934573424,-55,10mRange-10m.csv
10,10,20,44.36040500397955,5.649448385118882,48.897280468,6.728973051,-49,10mRange-10m.csv
10,10,4,45.66986467477112,15.311673599378183,48.897280468,6.728973051,-87,10mRange-10m.csv
10,10,52,55.273871150586764,11.699051238223767,48.897280468,6.728973051,-78,10mRange-10m.csv
10,10,52,55.273871150586764,11.699051238223767,58.317868948,8.523372232,-47,10mRange-10m.csv
10,10,82,62.38790479066951,16.208580696938746,58.317868948,8.523372232,-83,10mRange-10m.csv
10,10,9,57.01191069424267,14.812878128951612,58.317868948,8.523372232,-64,10mRange-10m.csv
10,10,82,62.38790479066951,16.208580696938746,68.187021036,9.420515996,-85,10mRange-10m.csv
10,10,32,66.90278182003398,18.909653518524916,68.187021036,9.420515996,-91,10mRange-10m.csv
10,10,74,86.22355894721106,9.195276420848252,77.158962278,10.317770971,-87,10mRange-10m.csv
10,10,33,78.34038367867724,2.5114318570927607,77.158962278,10.317770971,-77,10mRange-10m.csv
10,10,49,82.24892997995487,9.53922449037906,77.158962278,10.317770971,-53,10mRange-10m.csv
10,10,97,82.27091886845992,7.003098548773757,77.158962278,10.317770971,-61,10mRange-10m.csv
10,10,49,82.24892997995487,9.53922449037906,87.028197995,11.21491451,-53,10mRange-10m.csv
10,10,74,86.22355894721106,9.195276420848252,87.028197995,11.21491451,-28,10mRange-10m.csv
10,10,97,82.27091886845992,7.003098548773757,87.028197995,11.21491451,-64,10mRange-10m.csv
10,10,68,93.4960957962485,3.8102404601314754,87.028197995,11.21491451,-93,10mRange-10m.csv
10,10,88,90.35252093430014,4.716280843946963,87.028197995,11.21491451,-72,10mRange-10m.csv
10,10,68,93.4960957962485,3.8102404601314754,96.897350087,11.21491451,-79,10mRange-10m.csv
10,10,88,90.35252093430014,4.716280843946963,96.897350087,11.21491451,-88,10mRange-10m.csv
10,10,34,99.91740116856856,3.6886531100990605,96.897350087,11.21491451,-78,10mRange-10m.csv
10,10,87,96.73925960102402,18.687530346538704,96.897350087,11.21491451,-73,10mRange-10m.csv
10,10,87,96.73925960102402,18.687530346538704,96.897350087,20.635527275,-26,10mRange-10m.csv
10,10,36,89.94836434005167,25.08871181344482,96.897350087,20.635527275,-80,10mRange-10m.csv
10,10,36,89.94836434005167,25.08871181344482,86.579550758,20.186900439,-60,10mRange-10m.csv
10,10,32,66.90278182003398,18.909653518524916,76.261835053,17.943877165,-89,10mRange-10m.csv
10,10,38,76.10226034176003,21.074468991190077,76.261835053,17.943877165,-36,10mRange-10m.csv
10,10,65,76.4230334066004,24.701041056812056,76.261835053,17.943877165,-67,10mRange-10m.csv
10,10,66,75.2117514961178,24.512722550646536,76.261835053,17.943877165,-66,10mRange-10m.csv
10,10,92,77.03681808073243,25.207706691512975,76.261835053,17.943877165,-72,10mRange-10m.csv
10,10,9,57.01191069424267,14.812878128951612,65.046824878,17.495361486,-82,10mRange-10m.csv
10,10,32,66.90278182003398,18.909653518524916,65.046824878,17.495361486,-29,10mRange-10m.csv
10,10,82,62.38790479066951,16.208580696938746,65.046824878,17.495361486,-35,10mRange-10m.csv
10,10,9,57.01191069424267,14.812878128951612,55.626236398,17.495361486,-35,10mRange-10m.csv
10,10,52,55.273871150586764,11.699051238223767,55.626236398,17.495361486,-59,10mRange-10m.csv
10,10,82,62.38790479066951,16.208580696938746,55.626236398,17.495361486,-68,10mRange-10m.csv
10,10,57,55.813936465893185,26.298759890675793,55.626236398,17.495361486,-84,10mRange-10m.csv
10,10,4,45.66986467477112,15.311673599378183,45.308520697,15.700964521,-14,10mRange-10m.csv
10,10,98,44.90143961692792,23.592419820998444,45.308520697,15.700964521,-77,10mRange-10m.csv
10,10,4,45.66986467477112,15.311673599378183,35.887932218,13.457939863,-94,10mRange-10m.csv
10,10,22,21.457941918346044,19.860577430366313,26.018780126,11.663541901,-89,10mRange-10m.csv
10,10,28,13.282103691767466,1.5008064727816683,17.046755259,10.317770971,-91,10mRange-10m.csv
10,10,43,18.30563092198728,4.37596549492233,17.046755259,10.317770971,-61,10mRange-10m.csv
10,10,84,15.153189864495554,4.743070324879484,17.046755259,10.317770971,-60,10mRange-10m.csv
10,10,28,13.282103691767466,1.5008064727816683,7.177603171,9.420515996,-94,10mRange-10m.csv
10,10,84,15.153189864495554,4.743070324879484,7.177603171,9.420515996,-88,10mRange-10m.csv
10,10,53,2.395841079016414,10.808017167742257,7.177603171,9.420515996,-52,10mRange-10m.csv
10,10,53,2.395841079016414,10.808017167742257,-1.794338071,7.177600719,-57,10mRange-10m.csv
10,10,53,2.395841079016414,10.808017167742257,-3.588759771,17.495361486,-86,10mRange-10m.csv
10,10,5,1.5945088243646377,21.254770835610024,-3.588759771,17.495361486,-64,10mRange-10m.csv
10,10,5,1.5945088243646377,21.254770835610024,4.934617858,19.738273576,-41,10mRange-10m.csv
10,10,53,2.395841079016414,10.808017167742257,4.934617858,19.738273576,-88,10mRange-10m.csv
10,10,41,12.514635539457542,24.389234502660585,4.934617858,19.738273576,-85,10mRange-10m.csv
10,10,22,21.457941918346044,19.860577430366313,13.457995488,21.981296293,-80,10mRange-10m.csv
10,10,41,12.514635539457542,24.389234502660585,13.457995488,21.981296293,-31,10mRange-10m.csv
10,10,22,21.457941918346044,19.860577430366313,23.775794817,21.981296293,-36,10mRange-10m.csv
10,10,18,36.94064948687682,25.74249959392262,32.747736059,24.224318318,-47,10mRange-10m.csv
10,10,37,31.44366912017865,33.134396525075346,32.747736059,24.224318318,-86,10mRange-10m.csv
10,10,58,37.13152216990662,29.17909418104464,32.747736059,24.224318318,-66,10mRange-10m.csv
10,10,18,36.94064948687682,25.74249959392262,42.168324535,25.570086673,-54,10mRange-10m.csv
10,10,58,37.13152216990662,29.17909418104464,42.168324535,25.570086673,-62,10mRange-10m.csv
10,10,98,44.90143961692792,23.592419820998444,42.168324535,25.570086673,-38,10mRange-10m.csv
10,10,8,42.133486596064785,29.763354339444604,42.168324535,25.570086673,-45,10mRange-10m.csv
10,10,64,45.967613478079315,28.561906595628393,42.168324535,25.570086673,-51,10mRange-10m.csv
10,10,79,46.838912083513286,26.992232369983526,42.168324535,25.570086673,-51,10mRange-10m.csv
10,10,57,55.813936465893185,26.298759890675793,51.588913018,26.467339649,-45,10mRange-10m.csv
10,10,64,45.967613478079315,28.561906595628393,51.588913018,26.467339649,-60,10mRange-10m.csv
10,10,79,46.838912083513286,26.992232369983526,51.588913018,26.467339649,-50,10mRange-10m.csv
10,10,98,44.90143961692792,23.592419820998444,51.588913018,26.467339649,-71,10mRange-10m.csv
10,10,57,55.813936465893185,26.298759890675793,61.009417869,26.467339649,-54,10mRange-10m.csv
10,10,32,66.90278182003398,18.909653518524916,61.009417869,26.467339649,-91,10mRange-10m.csv
10,10,96,68.65174385138815,27.813157863471705,61.009417869,26.467339649,-75,10mRange-10m.csv
10,10,32,66.90278182003398,18.909653518524916,69.981442736,27.813107589,-90,10mRange-10m.csv
10,10,38,76.10226034176003,21.074468991190077,69.981442736,27.813107589,-87,10mRange-10m.csv
10,10,96,68.65174385138815,27.813157863471705,69.981442736,27.813107589,-21,10mRange-10m.csv
10,10,66,75.2117514961178,24.512722550646536,69.981442736,27.813107589,-62,10mRange-10m.csv
10,10,65,76.4230334066004,24.701041056812056,69.981442736,27.813107589,-70,10mRange-10m.csv
10,10,92,77.03681808073243,25.207706691512975,69.981442736,27.813107589,-73,10mRange-10m.csv
10,10,38,76.10226034176003,21.074468991190077,79.401947591,28.710248967,-80,10mRange-10m.csv
10,10,92,77.03681808073243,25.207706691512975,79.401947591,28.710248967,-45,10mRange-10m.csv
10,10,66,75.2117514961178,24.512722550646536,79.401947591,28.710248967,-60,10mRange-10m.csv
10,10,65,76.4230334066004,24.701041056812056,79.401947591,28.710248967,-52,10mRange-10m.csv
10,10,36,89.94836434005167,25.08871181344482,88.82253607,30.05612781,-53,10mRange-10m.csv
10,10,40,86.89793735126251,36.875140157328424,88.82253607,30.05612781,-70,10mRange-10m.csv
10,10,48,90.65933632009188,35.11080912107736,88.82253607,30.05612781,-55,10mRange-10m.csv
10,10,59,96.67983632757753,32.01582122346479,88.82253607,30.05612781,-78,10mRange-10m.csv
10,10,36,89.94836434005167,25.08871181344482,96.897350087,30.953268912,-87,10mRange-10m.csv
10,10,59,96.67983632757753,32.01582122346479,96.897350087,30.953268912,-19,10mRange-10m.csv
10,10,48,90.65933632009188,35.11080912107736,96.897350087,30.953268912,-73,10mRange-10m.csv
10,10,59,96.67983632757753,32.01582122346479,95.551575625,40.373856058,-81,10mRange-10m.csv
10,10,40,86.89793735126251,36.875140157328424,95.551575625,40.373856058,-89,10mRange-10m.csv
10,10,48,90.65933632009188,35.11080912107736,95.551575625,40.373856058,-71,10mRange-10m.csv
10,10,69,95.37849312737588,43.20431696626093,95.551575625,40.373856058,-34,10mRange-10m.csv
10,10,48,90.65933632009188,35.11080912107736,85.233776295,40.373856058,-74,10mRange-10m.csv
10,10,40,86.89793735126251,36.875140157328424,85.233776295,40.373856058,-42,10mRange-10m.csv
10,10,80,82.98135059024074,40.59767018538933,85.233776295,40.373856058,-29,10mRange-10m.csv
10,10,91,80.1900431334469,44.24317164719582,85.233776295,40.373856058,-64,10mRange-10m.csv
10,10,80,82.98135059024074,40.59767018538933,74.91597697,39.4766048,-79,10mRange-10m.csv
10,10,91,80.1900431334469,44.24317164719582,74.91597697,39.4766048,-70,10mRange-10m.csv
10,10,83,72.93967948274049,43.357431136564294,74.91597697,39.4766048,-47,10mRange-10m.csv
10,10,94,71.55780216318286,48.49899147236217,74.91597697,39.4766048,-91,10mRange-10m.csv
10,10,83,72.93967948274049,43.357431136564294,65.495472115,37.233698811,-91,10mRange-10m.csv
10,10,96,68.65174385138815,27.813157863471705,65.495472115,37.233698811,-94,10mRange-10m.csv
10,10,57,55.813936465893185,26.298759890675793,53.831898327,35.439306726,-89,10mRange-10m.csv
