radio_range_m,trajectory_step_m,packet_reception_rows,receivers_observed,receivers_with_at_least_3_packets,unlocalized_receivers_under_3_packets,receiver_scope,mean_packets_per_observed_receiver
10,10,264,96,58,41,99,2.75
10,20,77,73,0,99,99,1.0547945205479452
10,30,37,37,0,99,99,1.0
10,40,21,21,0,99,99,1.0
10,50,8,8,0,99,99,1.0
20,10,955,99,98,1,99,9.646464646464647
20,20,270,98,57,42,99,2.7551020408163267
20,30,131,98,0,99,99,1.336734693877551
20,40,80,80,0,99,99,1.0
20,50,40,40,0,99,99,1.0
30,10,1957,99,99,0,99,19.767676767676768
30,20,581,99,96,3,99,5.8686868686868685
30,30,297,99,68,31,99,3.0
30,40,158,97,3,96,99,1.6288659793814433
30,50,114,95,0,99,99,1.2
40,10,3139,99,99,0,99,31.707070707070706
40,20,911,99,99,0,99,9.202020202020202
40,30,451,99,94,5,99,4.555555555555555
40,40,242,99,41,58,99,2.4444444444444446
40,50,203,99,18,81,99,2.0505050505050506
50,10,4449,99,99,0,99,44.93939393939394
50,20,912,99,99,0,99,9.212121212121213
50,30,451,99,94,5,99,4.555555555555555
50,40,242,99,41,58,99,2.4444444444444446
50,50,203,99,18,81,99,2.0505050505050506
